Ticker,Test_Samples,MSE_3M,RMSE_3M,MAE_3M,R2_3M,DirAcc_3M,MSE_1Y,RMSE_1Y,MAE_1Y,R2_1Y,DirAcc_1Y,MSE_3Y,RMSE_3Y,MAE_3Y,R2_3Y,DirAcc_3Y
KOTAKBANK,866,0.0079435518128298,0.0891266055273609,0.07281569359859617,0.6459416485295681,72.74826789838336,0.006408914335231125,0.08005569520796833,0.06251853140310384,0.8000481565160595,80.4849884526559,0.004130053491925906,0.06426549223281423,0.0505911794721792,0.8694572150960403,92.60969976905312
LT,866,0.005332402285401643,0.07302329960636977,0.057672829673029065,0.8363652098252947,92.26327944572749,0.015262618634587135,0.1235419711457897,0.09102456207604857,0.8696273749783929,97.34411085450347,0.02108467295637187,0.1452056230191237,0.1178765294871209,0.9263471979410443,100.0
HCLTECH,867,0.008588155989383277,0.09267230432757824,0.06927634123920902,0.6304591655851826,76.35524798154556,0.01212474053864666,0.11011239956810795,0.08817023241006519,0.8864747151129044,94.34832756632065,0.013943783772389652,0.11808379978807276,0.09557874639966496,0.7795998611798458,100.0
AXISBANK,866,0.008532063770277697,0.09236917110312129,0.0726506952142168,0.7748097612189431,88.10623556581986,0.012941249484429346,0.11375961271219828,0.08234059611777936,0.8833901799146895,91.22401847575058,0.01366814232464664,0.11691083065587482,0.08789588384351513,0.8943991875038795,99.07621247113164
ASIANPAINT,866,0.004016551462759616,0.06337626892425599,0.05212659872576323,0.7554354615463494,91.10854503464203,0.0035097483587498597,0.05924312921132593,0.04779330757465071,0.9515511091950459,93.76443418013857,0.010526819478887695,0.10260028985771773,0.08653643665144208,0.9538977536487722,95.03464203233256
MARUTI,866,0.007878870316239713,0.08876300082939802,0.06884094179698937,0.6114689562448089,83.94919168591224,0.0035925317796248915,0.05993773251988176,0.0449601356900781,0.7034005952796593,92.72517321016166,0.011554612699280884,0.10749238437806133,0.08576043046511898,0.7546676921632673,100.0
SUNPHARMA,866,0.002943336481133493,0.05425252511297048,0.04122991172959131,0.704611419391996,86.48960739030022,0.009940745483611183,0.09970328722570376,0.0836534344442791,0.6008908705848061,100.0,0.009242583848985882,0.09613835784423344,0.07476708189719819,0.8833868655377428,100.0
TITAN,866,0.011496334200338857,0.10722095970629464,0.08732806727482118,0.5790017682433007,86.02771362586606,0.01544717882239265,0.12428667998781144,0.10006115962746043,0.8217668708862371,93.64896073903002,0.0592855750971122,0.24348629344813683,0.21533746964042236,0.8227609127661883,100.0
ULTRACEMCO,866,0.003972915766932778,0.06303106985394408,0.04895552329997805,0.799277847788318,90.06928406466513,0.02411253102678814,0.15528210143731358,0.12391877143129472,0.8052798003592615,92.95612009237875,0.005221408372999832,0.07225931339972608,0.055934849808177554,0.9223695197443482,100.0
BAJAJFINSV,866,0.012025688598430532,0.10966170069094557,0.08436372853608468,0.8420175437826666,93.41801385681293,0.04113564764514606,0.20281924870471751,0.14427282815051626,0.8989478875284891,87.87528868360278,0.01765785740302325,0.13288287099179957,0.10934608502003099,0.9516024816770666,95.3810623556582
